NOM_ASSOCIATION;Sigle;RECONNAISSANCE;AXES;ADRESSE;C.P.;LOCALITE;TEL.;FAX;E.MAIL;Site Web
Abracadabus;;DECRET 2003;1;RUE SAINT-CHRISTOPHE  38;1000;BRUXELLES;02/513 75 35;;abracadabus@skynet.be;www.abracadabus.net
ACRF - Femmes en Milieu rural;ACRF;DECRET 2003;1 + 3;RUE M. JAUMAIN  15;5330;ASSESSE;083/65 51 92;083/65 62 56;contact@acrf.be;www.acrf.be
Action et Recherche culturelles;ARC;DECRET 2003;1 + 3;RUE DE L'ASSOCIATION  20;1000;BRUXELLES;02/219 68 88;02/219 39 72;direction@arc-culture.be;www.arc-culture.be
Action mondiale pour la Solidarité;AMONSOLI;DECRET 2003;1;RUE AUX LAINES  22;4800;VERVIERS;087/42 05 36;;amonsoli@outlook.com;www.amonsoli.be
Action Vivre ensemble;AVE;DECRET 2003;1 + 3;RUE DU GOUVERNEMENT PROVISOIRE  32;1000;BRUXELLES;02/227 66 80;02/217 32 59;info@vivre-ensemble.be;www.vivre-ensemble.be
Actions Consommateurs Travailleurs;achACT;DECRET 2003;3 + 4;RUE NANON  98;5000;NAMUR;010/45 75 27;;achacteurs@achact.be;www.achact.be
Agence Alter;;DECRET 2003;3;RUE GUILLAUME TELL  57;1060;BRUXELLES;02/541 85 20;02/231 15 59;alter@alter.be;www.alter.be
Ages et Transmissions;;DECRET 2003;1;RUE BELLIARD  20/3;1040;BRUXELLES;02/514 45 61;;info@agesettransmissions.be;www.agesettransmissions.be
Agir pour la Paix;;DECRET 2003;1;RUE VAN ELEWIJCK  35;1050;BRUXELLES;02/648 52 20;02/646 87 92;info@agirpourlapaix.be;www.agirpourlapaix.be
Âgo;;DECRET 2003;1;RUE DE LIVOURNE  25;1050;BRUXELLES;02/538 10 48;02/542 87 45;info@ago-asbl.be;www.ago-asbl.be
Ag'y Sont;;DECRET 2003;1;RUE JEANNE D'ARC  59/46;7500;TOURNAI;069/84 85 86;069/84 85 86;info@agysont.be;www.agysont.be
Aide et Reclassement;;DECRET 2003;1;RUE RIOUL  22;4500;HUY;085/21 45 83 ;085/23 28 10;info@aideetreclassement.be;www.aideetreclassement.be
Altéo - Mouvement social de Personnes malades valides et handicapées;ALTEO;DECRET 2003;1 + 4;CHAUSSEE DE HAECHT  579/40;1031;BRUXELLES;02/246 42 26;02/246 48 21;alteo@mc.be;www.alteoasbl.be
